Date,Open,High,Low,Close,Adj Close,Volume
2016-07-18,24.674999,25.032499,24.650000,24.957500,23.389420,145975600
2016-07-19,24.889999,25.000000,24.834999,24.967501,23.398790,95119600
2016-07-20,25.000000,25.115000,24.934999,24.990000,23.419882,105104000
2016-07-21,24.957500,25.250000,24.782499,24.857500,23.295704,130808000
2016-07-22,24.815001,24.825001,24.577499,24.665001,23.115305,113254800
2016-07-25,24.562500,24.709999,24.230000,24.334999,22.806034,161531600
2016-07-26,24.205000,24.492500,24.105000,24.167500,22.649059,224959200
2016-07-27,26.067499,26.087500,25.687500,25.737499,24.120413,369379200
2016-07-28,25.707500,26.112499,25.705000,26.084999,24.446079,159479200
2016-07-29,26.047501,26.137501,25.920000,26.052500,24.415627,110934800
2016-08-01,26.102501,26.537500,26.102501,26.512501,24.846720,152671600
2016-08-02,26.512501,26.517500,26.000000,26.120001,24.478882,135266400
2016-08-03,26.202499,26.459999,26.192499,26.447500,24.785803,120810400
2016-08-04,26.395000,26.500000,26.320000,26.467501,24.938921,109634800
2016-08-05,26.567499,26.912500,26.545000,26.870001,25.318172,162213600
2016-08-08,26.879999,27.092501,26.790001,27.092501,25.527824,112148800
2016-08-09,27.057501,27.235001,27.002501,27.202499,25.631472,105260800
2016-08-10,27.177500,27.225000,26.940001,27.000000,25.440668,96034000
2016-08-11,27.129999,27.232500,26.962500,26.982500,25.424177,109938000
2016-08-12,26.945000,27.110001,26.945000,27.045000,25.483068,74641600
2016-08-15,27.035000,27.385000,27.020000,27.370001,25.789301,103472800
2016-08-16,27.407499,27.557501,27.302500,27.344999,25.765745,135177600
2016-08-17,27.275000,27.342501,27.084999,27.305000,25.728050,101424000
2016-08-18,27.307501,27.400000,27.254999,27.270000,25.695076,87938800
2016-08-19,27.192499,27.422501,27.090000,27.340000,25.761034,101472400
2016-08-22,27.215000,27.275000,26.962500,27.127501,25.560801,103280800
2016-08-23,27.147499,27.330000,27.132500,27.212500,25.640892,85030800
2016-08-24,27.142500,27.187500,26.920000,27.007500,25.447735,94700400
2016-08-25,26.847500,26.969999,26.670000,26.892500,25.339378,100344800
2016-08-26,26.852501,26.987499,26.577499,26.735001,25.190971,111065200
2016-08-29,26.655001,26.860001,26.572500,26.705000,25.162706,99881200
2016-08-30,26.450001,26.625000,26.375000,26.500000,24.969540,99455600
2016-08-31,26.415001,26.642500,26.410000,26.525000,24.993093,118649600
2016-09-01,26.535000,26.700001,26.405001,26.682501,25.141504,106806000
2016-09-02,26.924999,27.000000,26.705000,26.932501,25.377068,107210000
2016-09-06,26.975000,27.075001,26.877501,26.924999,25.369995,107521600
2016-09-07,26.957500,27.190001,26.767500,27.090000,25.525465,169457200
2016-09-08,26.812500,26.817499,26.309999,26.379999,24.856476,212008000
2016-09-09,26.160000,26.430000,25.782499,25.782499,24.293482,186228000
